topic_id,topic_title,topic_objective,PID,relevance,article_title,abstract
CD009925,Second trimester serum tests for Down's Syndrome screening,"The aim of this review was to estimate and compare the accuracy of second trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate) and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). We grouped our analyses to focus on investigating the value of adding increasing numbers of markers (comparing single, dual, triple and quadruple tests), and of including Inhibin A, the most recent routine addition to serum marker combinations. Investigation of sources of heterogeneity We investigated whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",15493716,1,Evaluation of second trimester maternal serum screening for Down's Syndrome using the Spiegelhalter-Knill-Jones (S-KJ) approach.,"Risk estimation for Down's syndrome in antenatal serum screening with maternal age and multiple serum biomarkers is usually complicated and computationally intensive. We have developed a simple scoring system using the Spiegelhalter-Knill-Jones approach, which was based on Bayesian theorem and the logistic regression model."
CD009925,Second trimester serum tests for Down's Syndrome screening,"The aim of this review was to estimate and compare the accuracy of second trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate) and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). We grouped our analyses to focus on investigating the value of adding increasing numbers of markers (comparing single, dual, triple and quadruple tests), and of including Inhibin A, the most recent routine addition to serum marker combinations. Investigation of sources of heterogeneity We investigated whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",7678369,1,Free alpha-subunit of human chorionic gonadotropin in Down syndrome.,The purpose of this study was to evaluate the potential value of maternal serum free alpha-subunit of human chorionic gonadotropin concentrations in discriminating between pregnancies associated with Down syndrome and normal matched controls.
CD009925,Second trimester serum tests for Down's Syndrome screening,"The aim of this review was to estimate and compare the accuracy of second trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate) and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). We grouped our analyses to focus on investigating the value of adding increasing numbers of markers (comparing single, dual, triple and quadruple tests), and of including Inhibin A, the most recent routine addition to serum marker combinations. Investigation of sources of heterogeneity We investigated whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",7677967,1,"A prospective evaluation of a second-trimester screening test for fetal Down syndrome using maternal serum alpha-fetoprotein, hCG, and unconjugated estriol.","To test the efficacy of a screening protocol using a combination of maternal age plus three biochemical markers--maternal serum alpha-fetoprotein (MSAFP), hCG, and unconjugated estriol (E3)--for the antenatal detection of fetal Down syndrome."
CD009925,Second trimester serum tests for Down's Syndrome screening,"The aim of this review was to estimate and compare the accuracy of second trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate) and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). We grouped our analyses to focus on investigating the value of adding increasing numbers of markers (comparing single, dual, triple and quadruple tests), and of including Inhibin A, the most recent routine addition to serum marker combinations. Investigation of sources of heterogeneity We investigated whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",15295343,1,Nuchal translucency and other first-trimester sonographic markers of chromosomal abnormalities.,"There is extensive evidence that effective screening for major chromosomal abnormalities can be provided in the first trimester of pregnancy. Prospective studies in a total of 200,868 pregnancies, including 871 fetuses with trisomy 21, have demonstrated that increased nuchal translucency can identify 76.8% of fetuses with trisomy 21, which represents a false-positive rate of 4.2%. When fetal nuchal translucency was combined with maternal serum free-beta-human chorionic gonadotropin and pregnancy-associated plasma protein-A in prospective studies in a total of 44,613 pregnancies, including 215 fetuses with trisomy 21, the detection rate was 87.0% for a false-positive rate of 5.0%. Studies from specialist centers with 15,822 pregnancies, which included 397 fetuses with trisomy 21, have demonstrated that the absence of the nasal bone can identify 69.0% of trisomy 21 fetuses, which represents a false-positive rate of 1.4%. It has been estimated that first-trimester screening by a combination of sonography and maternal serum testing can identify 97% of trisomy 21 fetuses, which represents a false-positive rate of 5%, or that the detection rate can be 91%, which represents a false-positive rate of 0.5%. In addition to increased nuchal translucency, important sonographic markers for chromosomal abnormalities, include fetal growth restriction, tachycardia, abnormal flow in the ductus venosus, megacystis, exomphalos and single umbilical artery. Most pregnant women prefer screening in the first, rather than in the second, trimester. As with all aspects of good clinical practice, those care givers who perform first-trimester screening should be trained appropriately, and their results should be subjected to external quality assurance."
CD009925,Second trimester serum tests for Down's Syndrome screening,"The aim of this review was to estimate and compare the accuracy of second trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate) and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). We grouped our analyses to focus on investigating the value of adding increasing numbers of markers (comparing single, dual, triple and quadruple tests), and of including Inhibin A, the most recent routine addition to serum marker combinations. Investigation of sources of heterogeneity We investigated whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",7677679,1,Maternal serum screening and routine 18-week ultrasound in the detection of all chromosomal abnormalities.,"Over a 15-month period, maternal serum screening (alpha fetoprotein, oestriol, chorionic gonadotrophin) and ultrasound were evaluated in the detection of all chromosomal abnormalities. Of the 981 screened, there were 8 chromosomally abnormal pregnancies. Six of these were considered to be at increased risk on serum screening, all of which were detected. Of the remaining 2, one was detected by ultrasound and the other resulted in a liveborn baby with trisomy 21. The positive and negative predictive values for serum screening for all chromosomal abnormalities was 7.8% and 99.9% respectively. The sensitivity and specificity was 87.5% and 91.5% respectively. Serum screening is useful in the detection of many chromosomal abnormalities, not just Down syndrome. The combination of maternal serum screening and ultrasound has a high negative predictive value and is valuable in providing reassurance of no underlying chromosomal abnormality. With a positive predictive value of 7.8% a chromosomal abnormality will be found once in every 13 amniocenteses performed."
CD009925,Second trimester serum tests for Down's Syndrome screening,"The aim of this review was to estimate and compare the accuracy of second trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate) and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). We grouped our analyses to focus on investigating the value of adding increasing numbers of markers (comparing single, dual, triple and quadruple tests), and of including Inhibin A, the most recent routine addition to serum marker combinations. Investigation of sources of heterogeneity We investigated whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",16916050,1,Maternal serum alpha fetoprotein among pregnant females in Alexandria.,"Maternal serum alpha fetoprotein (MSAFP) was introduced as a screening test for congenital malformations especially neural tube defects (NTDs) two decades ago. However, many factors were known to affect its level. From these are racial differences and maternal weight. The aim of the present work is to illustrate the normal distribution of MSAFP among working pregnant women in Alexandria in gestational age 16-18 weeks, to identify some of its determinants, and to determine the specificity and sensitivity of MSAFP for the detection of congenital anomalies and adverse pregnancy outcome."
CD009925,Second trimester serum tests for Down's Syndrome screening,"The aim of this review was to estimate and compare the accuracy of second trimester serum markers for the detection of Down’s syndrome in the antenatal period, both as individual markers and as combinations of markers. Accuracy is described by the proportion of fetuses with Down’s syndrome detected by screening before birth (sensitivity or detection rate) and the proportion of women with a low risk (normal) screening test result who subsequently had a baby unaffected by Down's syndrome (specificity). We grouped our analyses to focus on investigating the value of adding increasing numbers of markers (comparing single, dual, triple and quadruple tests), and of including Inhibin A, the most recent routine addition to serum marker combinations. Investigation of sources of heterogeneity We investigated whether a uniform screening test is suitable for all women, or whether different screening methods are more applicable to different groups, defined by advanced maternal age, ethnic groups and aspects of the pregnancy and medical history such as multiple pregnancy, diabetes and family history of Down's syndrome. We also considered whether there existed evidence of overestimation of test accuracy in studies evaluating risk equations in the derivation sample rather than in a separate validation sample.",15503275,1,Second-trimester prenatal screening markers for Down syndrome in women with insulin-dependent diabetes mellitus.,"Published studies have shown that some serum markers used in screening for Down syndrome tend to be lower among women with insulin-dependent diabetes mellitus (IDDM). On this basis, many screening programmes adjust the marker levels to take account of this difference. Recent studies suggested that the marker levels were not different, and so adjustment may no longer be needed, possibly because of better diabetic control. Data from a prenatal screening programme for Down syndrome were examined to see whether the median values of second-trimester screening markers were still reduced in pregnant women with IDDM. A total of 366 women with IDDM singleton pregnancies without Down syndrome were identified from the screening programme at Barts from 1989 to 2002. After allowing for maternal weight, the median multiples of the median (MoM) for IDDM-unaffected singleton pregnancies were as follows: 0.88 (95% confidence interval 0.84-0.93) for alphafetoprotein (AFP), 0.95 (0.91-0.99) for unconjugated oestriol (uE3), 0.90 (0.80-1.01) for total human chorionic gonadotrophin (total hCG), 0.98 (0.88-1.08) for free beta-hCG, and 0.99 (0.89-1.10) for inhibin-A. The median levels for AFP and uE3 were statistically significantly lower in pregnant women with IDDM. The other markers were not significantly different in women with and without IDDM. There remains a case for adjusting AFP and uE3 levels in women with IDDM in prenatal screening programmes for Down syndrome."
CD008803,Optic nerve head and fibre layer imaging for diagnosing glaucoma," To determine the diagnostic accuracy of HRT, OCT and GDx for diagnosing manifest glaucoma by detecting ONH and RNFL damage.",18344755,1,Comparing glaucomatous optic neuropathy in primary open angle and primary angle closure glaucoma eyes by scanning laser polarimetry-variable corneal compensation.,To study the retinal nerve fiber layer thickness difference between high-tension primary open angle glaucoma (HT-POAG) and primary angle closure glaucoma (PACG) eyes using scanning laser polarimetry-variable corneal compensation (GDx VCC) in Taiwan-Chinese population; to evaluate the usefulness of the GDx VCC for detecting POAG and PACG eyes in Taiwan-Chinese population.
CD008803,Optic nerve head and fibre layer imaging for diagnosing glaucoma," To determine the diagnostic accuracy of HRT, OCT and GDx for diagnosing manifest glaucoma by detecting ONH and RNFL damage.",19373100,1,Comparison of scanning laser polarimetry and optical coherence tomography in quantitative retinal nerve fiber assessment.,To investigate the relationship between retinal nerve fiber layer (RNFL) measurements in corresponding areas obtained with scanning laser polarimetry and optical coherence tomography and to compare their discriminating ability in the diagnosis of preperimetric and perimetric glaucoma.
CD008803,Optic nerve head and fibre layer imaging for diagnosing glaucoma," To determine the diagnostic accuracy of HRT, OCT and GDx for diagnosing manifest glaucoma by detecting ONH and RNFL damage.",24393348,1,Diagnostic performance of optical coherence tomography ganglion cell--inner plexiform layer thickness measurements in early glaucoma.,"To evaluate the glaucoma diagnostic performance of ganglion cell inner-plexiform layer (GCIPL) parameters used individually and in combination with retinal nerve fiber layer (RNFL) or optic nerve head (ONH) parameters measured with Cirrus HD-OCT (Carl Zeiss Meditec, Inc, Dublin, CA)."
CD008803,Optic nerve head and fibre layer imaging for diagnosing glaucoma," To determine the diagnostic accuracy of HRT, OCT and GDx for diagnosing manifest glaucoma by detecting ONH and RNFL damage.",18344755,1,Comparing glaucomatous optic neuropathy in primary open angle and primary angle closure glaucoma eyes by scanning laser polarimetry-variable corneal compensation.,To study the retinal nerve fiber layer thickness difference between high-tension primary open angle glaucoma (HT-POAG) and primary angle closure glaucoma (PACG) eyes using scanning laser polarimetry-variable corneal compensation (GDx VCC) in Taiwan-Chinese population; to evaluate the usefulness of the GDx VCC for detecting POAG and PACG eyes in Taiwan-Chinese population.
CD008803,Optic nerve head and fibre layer imaging for diagnosing glaucoma," To determine the diagnostic accuracy of HRT, OCT and GDx for diagnosing manifest glaucoma by detecting ONH and RNFL damage.",19373100,1,Comparison of scanning laser polarimetry and optical coherence tomography in quantitative retinal nerve fiber assessment.,To investigate the relationship between retinal nerve fiber layer (RNFL) measurements in corresponding areas obtained with scanning laser polarimetry and optical coherence tomography and to compare their discriminating ability in the diagnosis of preperimetric and perimetric glaucoma.
CD008803,Optic nerve head and fibre layer imaging for diagnosing glaucoma," To determine the diagnostic accuracy of HRT, OCT and GDx for diagnosing manifest glaucoma by detecting ONH and RNFL damage.",24393348,1,Diagnostic performance of optical coherence tomography ganglion cell--inner plexiform layer thickness measurements in early glaucoma.,"To evaluate the glaucoma diagnostic performance of ganglion cell inner-plexiform layer (GCIPL) parameters used individually and in combination with retinal nerve fiber layer (RNFL) or optic nerve head (ONH) parameters measured with Cirrus HD-OCT (Carl Zeiss Meditec, Inc, Dublin, CA)."
CD009175,Clinical symptoms and signs for the diagnosis of Mycoplasma pneumoniae in children and adolescents with community-acquired pneumonia, To assess the diagnostic accuracy of symptoms and signs in the clinical recognition of M. pneumoniae in children and adolescents with community-acquired pneumonia.,18327427,1,"An open, randomized, comparative study of clarithromycin and erythromycin in the treatment of children with community-acquired pneumonia.",This study aimed to evaluate the efficacy and safety of clarithromycin and erythromycin in the treatment of community-acquired pneumonia in children.
